Country Name,Country Code,Indicator Name,Year,% Male Unemployment
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,12.394
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,4.34290859
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,4.366094058
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,4.483262072
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,4.49357407
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,4.484558778
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,4.412494708
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,4.370626961
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,4.368227384
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,4.535449791
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,4.589797693
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,4.509315029
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,4.29925702
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,4.178083362
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,4.081668866
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,4.071985105
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,3.933342156
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,3.89398846
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,3.898650914
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,3.9161631
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,3.891193812
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,3.877099925
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,3.92927827
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,3.706641183
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,3.918804949
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,4.222707875
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,4.212735494
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,4.338288117
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,4.362148264
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,4.389063338
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,4.606929745
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,4.089949923
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,2.829912518
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,2.682290313
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,2.636512329
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,14.83
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,14.94
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,15.319
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,15.316
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,14.941
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,14.298
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,14.206
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,14.385
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,14.585
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,14.664
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,14.678
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,14.486
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,14.494
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,14.387
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,14.371
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,14.232
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,14.186
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,14.255
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,14.44
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,14.61
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,14.768
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,14.816
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,14.988
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,15.145
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,15.464
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,15.788
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,16.068
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,16.298
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,16.447
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,16.764
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,15.817
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,14.472
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,14.405
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,14.35
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,10.328
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,32.116
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,26.877
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,22.233
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,14.967
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,14.658
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,17.705
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,20.238
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,21.159
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,19.38
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,18.295
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,17.61
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,16.684
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,16.013
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,15.629
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,15.284
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,15.639
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,12.533
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,12.171
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,12.737
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,13.263
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,14.835
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,17.704
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,19.898
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,17.248
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,16.162
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,14.466
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,12.635
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,11.587
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,11.724
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,11.307
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,9.917
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,9.888
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,10.023
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,10.65855815
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,11.26201008
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,11.81415527
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,11.75839518
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,12.21031854
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,11.3673008
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,10.74077833
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,10.70811734
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,10.9094902
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,11.13086137
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,11.0001806
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,10.9230759
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,10.8924007
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,9.541573148
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,9.40187903
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,8.632022236
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,8.415691583
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,8.099480131
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,7.219100825
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,7.212908068
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,8.357081783
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,8.726643381
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,8.691107104
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,8.673470849
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,8.73165547
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,8.403015874
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,8.701754417
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,8.447635875
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,7.965286725
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,9.319792009
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,9.056689229
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,8.032319672
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,7.797226252
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,7.698361402
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,1.554
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,1.644
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,1.842
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,1.77
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,1.732
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,1.764
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,1.833
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,2.001
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,2.132
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,2.184
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,2.273
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,2.382
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,2.517
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,2.467
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,2.513
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,2.36
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,2.321
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,2.195
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,2.289
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,2.148
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,1.935
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,1.679
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,1.492
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,1.377
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,1.19
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,1.052
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,1.282
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,1.293
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,1.396
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,3.837
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,2.188
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,1.526
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,1.508
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,1.433
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,5.244
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,6.129
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,8.438
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,10.266
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,16.451
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,15.647
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,12.803
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,11.65
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,13.258
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,14.029
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,17.411
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,20.122
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,13.806
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,11.893
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,10.053
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,8.422
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,7.062
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,6.52
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,7.788
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,6.685
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,6.267
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,6.101
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,6.137
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,6.494
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,6.798
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,7.288
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,7.544
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,8.246
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,9.202
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,10.778
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,7.915
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,6.145
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,5.641
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,7.452
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,1.27
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,1.281
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,3.452
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,4.876
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,3.647
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,4.476
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,5.281
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,5.641
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,7.594
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,7.935
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,8.284
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,8.594
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,8.926
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,9.291
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,9.665
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,10.044
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,10.429
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,14.994
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,18.135
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,17.502
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,17.562
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,16.46
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,14.468
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,15.642
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,17.326
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,17.742
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,17.923
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,17.682
